15/06/28 23:21:55 INFO input.FileInputFormat: Total input paths to process : 43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: number of splits:43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_24369
15/06/28 23:22:42 INFO impl.YarnClientImpl: Submitted application application_1434651818028_24369
15/06/28 23:22:42 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_24369/
15/06/28 23:22:42 INFO mapreduce.Job: Running job: job_1434651818028_24369
15/06/28 23:22:51 INFO mapreduce.Job: Job job_1434651818028_24369 running in uber mode : false
15/06/28 23:22:51 INFO mapreduce.Job:  map 0% reduce 0%
15/06/28 23:26:21 INFO mapreduce.Job:  map 1% reduce 0%
15/06/28 23:30:59 INFO mapreduce.Job:  map 2% reduce 0%
15/06/28 23:34:50 INFO mapreduce.Job:  map 3% reduce 0%
15/06/28 23:36:53 INFO mapreduce.Job:  map 4% reduce 0%
15/06/28 23:39:03 INFO mapreduce.Job:  map 5% reduce 0%
15/06/28 23:42:27 INFO mapreduce.Job:  map 6% reduce 0%
15/06/28 23:44:50 INFO mapreduce.Job:  map 7% reduce 0%
15/06/28 23:46:49 INFO mapreduce.Job:  map 8% reduce 0%
15/06/28 23:48:49 INFO mapreduce.Job:  map 9% reduce 0%
15/06/28 23:50:52 INFO mapreduce.Job:  map 10% reduce 0%
15/06/28 23:51:30 INFO mapreduce.Job:  map 10% reduce 1%
15/06/28 23:53:09 INFO mapreduce.Job:  map 11% reduce 1%
15/06/28 23:55:22 INFO mapreduce.Job:  map 12% reduce 1%
15/06/28 23:57:21 INFO mapreduce.Job:  map 13% reduce 1%
15/06/28 23:59:22 INFO mapreduce.Job:  map 14% reduce 1%
15/06/29 00:01:24 INFO mapreduce.Job:  map 15% reduce 1%
15/06/29 00:03:38 INFO mapreduce.Job:  map 16% reduce 1%
15/06/29 00:07:55 INFO mapreduce.Job:  map 17% reduce 1%
15/06/29 00:13:10 INFO mapreduce.Job:  map 17% reduce 2%
15/06/29 00:13:59 INFO mapreduce.Job:  map 18% reduce 2%
15/06/29 00:18:46 INFO mapreduce.Job:  map 19% reduce 2%
15/06/29 00:23:48 INFO mapreduce.Job:  map 20% reduce 2%
15/06/29 00:28:36 INFO mapreduce.Job:  map 21% reduce 2%
15/06/29 00:33:45 INFO mapreduce.Job:  map 22% reduce 2%
15/06/29 00:38:07 INFO mapreduce.Job:  map 23% reduce 2%
15/06/29 00:42:49 INFO mapreduce.Job:  map 24% reduce 2%
15/06/29 00:45:58 INFO mapreduce.Job:  map 25% reduce 2%
15/06/29 00:47:59 INFO mapreduce.Job:  map 25% reduce 3%
15/06/29 00:48:41 INFO mapreduce.Job:  map 26% reduce 3%
15/06/29 00:51:35 INFO mapreduce.Job:  map 27% reduce 3%
15/06/29 00:52:09 INFO mapreduce.Job:  map 27% reduce 4%
15/06/29 00:53:59 INFO mapreduce.Job:  map 28% reduce 4%
15/06/29 00:57:17 INFO mapreduce.Job:  map 29% reduce 4%
15/06/29 00:58:31 INFO mapreduce.Job:  map 29% reduce 5%
15/06/29 00:59:38 INFO mapreduce.Job:  map 30% reduce 5%
15/06/29 01:01:45 INFO mapreduce.Job:  map 30% reduce 6%
15/06/29 01:01:46 INFO mapreduce.Job:  map 31% reduce 6%
15/06/29 01:04:20 INFO mapreduce.Job:  map 32% reduce 6%
15/06/29 01:13:17 INFO mapreduce.Job:  map 32% reduce 3%
15/06/29 01:13:18 INFO mapreduce.Job:  map 32% reduce 0%
15/06/29 01:13:37 INFO mapreduce.Job:  map 33% reduce 0%
15/06/29 01:14:45 INFO mapreduce.Job:  map 33% reduce 1%
15/06/29 01:16:54 INFO mapreduce.Job:  map 33% reduce 2%
15/06/29 01:19:25 INFO mapreduce.Job:  map 33% reduce 3%
15/06/29 01:19:30 INFO mapreduce.Job:  map 34% reduce 3%
15/06/29 01:24:41 INFO mapreduce.Job:  map 35% reduce 3%
15/06/29 01:29:10 INFO mapreduce.Job:  map 36% reduce 3%
15/06/29 01:34:07 INFO mapreduce.Job:  map 37% reduce 3%
15/06/29 01:36:30 INFO mapreduce.Job:  map 37% reduce 4%
15/06/29 01:38:07 INFO mapreduce.Job:  map 38% reduce 4%
15/06/29 01:38:43 INFO mapreduce.Job:  map 38% reduce 5%
15/06/29 01:40:12 INFO mapreduce.Job:  map 38% reduce 6%
15/06/29 01:40:47 INFO mapreduce.Job:  map 39% reduce 6%
15/06/29 01:41:28 INFO mapreduce.Job:  map 39% reduce 7%
15/06/29 01:42:47 INFO mapreduce.Job:  map 39% reduce 8%
15/06/29 01:43:18 INFO mapreduce.Job:  map 40% reduce 8%
15/06/29 01:44:16 INFO mapreduce.Job:  map 40% reduce 9%
15/06/29 01:45:40 INFO mapreduce.Job:  map 41% reduce 9%
15/06/29 01:46:09 INFO mapreduce.Job:  map 41% reduce 10%
15/06/29 01:52:26 INFO mapreduce.Job:  map 41% reduce 5%
15/06/29 01:52:27 INFO mapreduce.Job:  map 41% reduce 1%
15/06/29 01:53:50 INFO mapreduce.Job:  map 41% reduce 2%
15/06/29 01:54:57 INFO mapreduce.Job:  map 42% reduce 2%
15/06/29 01:55:00 INFO mapreduce.Job:  map 42% reduce 3%
15/06/29 01:56:06 INFO mapreduce.Job:  map 42% reduce 4%
15/06/29 01:57:06 INFO mapreduce.Job:  map 42% reduce 5%
15/06/29 01:57:18 INFO mapreduce.Job:  map 43% reduce 5%
15/06/29 01:58:04 INFO mapreduce.Job:  map 43% reduce 6%
15/06/29 01:59:01 INFO mapreduce.Job:  map 43% reduce 7%
15/06/29 01:59:44 INFO mapreduce.Job:  map 44% reduce 7%
15/06/29 01:59:59 INFO mapreduce.Job:  map 44% reduce 8%
15/06/29 02:00:59 INFO mapreduce.Job:  map 44% reduce 9%
15/06/29 02:02:05 INFO mapreduce.Job:  map 44% reduce 10%
15/06/29 02:02:14 INFO mapreduce.Job:  map 45% reduce 10%
15/06/29 02:03:23 INFO mapreduce.Job:  map 45% reduce 11%
15/06/29 02:05:00 INFO mapreduce.Job:  map 45% reduce 12%
15/06/29 02:05:58 INFO mapreduce.Job:  map 46% reduce 12%
15/06/29 02:07:33 INFO mapreduce.Job:  map 46% reduce 77%
15/06/29 02:07:34 INFO mapreduce.Job:  map 46% reduce 0%
15/06/29 02:08:34 INFO mapreduce.Job:  map 46% reduce 1%
15/06/29 02:10:02 INFO mapreduce.Job:  map 46% reduce 2%
15/06/29 02:11:27 INFO mapreduce.Job:  map 46% reduce 3%
