15/07/04 18:39:08 INFO input.FileInputFormat: Total input paths to process : 47616
15/07/04 18:39:54 INFO mapreduce.JobSubmitter: number of splits:47616
15/07/04 18:39:54 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_34983
15/07/04 18:39:54 INFO impl.YarnClientImpl: Submitted application application_1434651818028_34983
15/07/04 18:39:54 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_34983/
15/07/04 18:39:54 INFO mapreduce.Job: Running job: job_1434651818028_34983
15/07/04 18:40:03 INFO mapreduce.Job: Job job_1434651818028_34983 running in uber mode : false
15/07/04 18:40:03 INFO mapreduce.Job:  map 0% reduce 0%
15/07/04 18:41:29 INFO mapreduce.Job:  map 1% reduce 0%
15/07/04 18:42:58 INFO mapreduce.Job:  map 2% reduce 0%
15/07/04 18:44:23 INFO mapreduce.Job:  map 3% reduce 0%
15/07/04 18:45:47 INFO mapreduce.Job:  map 4% reduce 0%
15/07/04 18:47:12 INFO mapreduce.Job:  map 5% reduce 0%
15/07/04 18:48:33 INFO mapreduce.Job:  map 6% reduce 0%
15/07/04 18:49:55 INFO mapreduce.Job:  map 7% reduce 0%
15/07/04 18:51:15 INFO mapreduce.Job:  map 8% reduce 0%
15/07/04 18:52:43 INFO mapreduce.Job:  map 9% reduce 0%
15/07/04 18:52:59 INFO mapreduce.Job:  map 9% reduce 1%
15/07/04 18:54:08 INFO mapreduce.Job:  map 10% reduce 1%
15/07/04 18:55:35 INFO mapreduce.Job:  map 11% reduce 1%
15/07/04 18:57:01 INFO mapreduce.Job:  map 12% reduce 1%
15/07/04 18:58:26 INFO mapreduce.Job:  map 13% reduce 1%
15/07/04 18:59:46 INFO mapreduce.Job:  map 14% reduce 1%
15/07/04 19:00:36 INFO mapreduce.Job:  map 14% reduce 2%
15/07/04 19:01:05 INFO mapreduce.Job:  map 15% reduce 2%
15/07/04 19:02:34 INFO mapreduce.Job:  map 16% reduce 2%
15/07/04 19:04:02 INFO mapreduce.Job:  map 17% reduce 2%
15/07/04 19:05:52 INFO mapreduce.Job:  map 18% reduce 2%
15/07/04 19:07:34 INFO mapreduce.Job:  map 19% reduce 2%
15/07/04 19:08:12 INFO mapreduce.Job:  map 19% reduce 3%
15/07/04 19:09:36 INFO mapreduce.Job:  map 20% reduce 3%
15/07/04 19:12:40 INFO mapreduce.Job:  map 21% reduce 3%
15/07/04 19:15:41 INFO mapreduce.Job:  map 22% reduce 3%
15/07/04 19:18:22 INFO mapreduce.Job:  map 23% reduce 3%
15/07/04 19:20:58 INFO mapreduce.Job:  map 24% reduce 3%
15/07/04 19:23:57 INFO mapreduce.Job:  map 25% reduce 3%
15/07/04 19:23:58 INFO mapreduce.Job:  map 25% reduce 4%
15/07/04 19:26:35 INFO mapreduce.Job:  map 26% reduce 4%
15/07/04 19:28:57 INFO mapreduce.Job:  map 27% reduce 4%
15/07/04 19:31:35 INFO mapreduce.Job:  map 28% reduce 4%
15/07/04 19:34:15 INFO mapreduce.Job:  map 29% reduce 4%
15/07/04 19:36:49 INFO mapreduce.Job:  map 30% reduce 4%
15/07/04 19:39:08 INFO mapreduce.Job:  map 31% reduce 4%
15/07/04 19:41:22 INFO mapreduce.Job:  map 31% reduce 5%
15/07/04 19:41:30 INFO mapreduce.Job:  map 32% reduce 5%
15/07/04 19:44:04 INFO mapreduce.Job:  map 33% reduce 5%
15/07/04 19:46:21 INFO mapreduce.Job:  map 34% reduce 5%
15/07/04 19:48:32 INFO mapreduce.Job:  map 35% reduce 5%
15/07/04 19:50:36 INFO mapreduce.Job:  map 36% reduce 5%
15/07/04 19:53:07 INFO mapreduce.Job:  map 37% reduce 5%
15/07/04 19:53:49 INFO mapreduce.Job:  map 37% reduce 6%
15/07/04 19:55:55 INFO mapreduce.Job:  map 38% reduce 6%
15/07/04 19:58:21 INFO mapreduce.Job:  map 39% reduce 6%
15/07/04 19:58:41 INFO mapreduce.Job:  map 39% reduce 7%
15/07/04 19:59:31 INFO mapreduce.Job:  map 39% reduce 8%
15/07/04 20:00:00 INFO mapreduce.Job:  map 40% reduce 8%
15/07/04 20:00:15 INFO mapreduce.Job:  map 40% reduce 9%
15/07/04 20:00:58 INFO mapreduce.Job:  map 40% reduce 10%
15/07/04 20:01:36 INFO mapreduce.Job:  map 41% reduce 10%
15/07/04 20:01:42 INFO mapreduce.Job:  map 41% reduce 11%
15/07/04 20:02:31 INFO mapreduce.Job:  map 41% reduce 12%
15/07/04 20:03:16 INFO mapreduce.Job:  map 42% reduce 12%
15/07/04 20:03:36 INFO mapreduce.Job:  map 42% reduce 13%
15/07/04 20:06:00 INFO mapreduce.Job:  map 43% reduce 13%
15/07/04 20:08:28 INFO mapreduce.Job:  map 43% reduce 14%
15/07/04 20:09:14 INFO mapreduce.Job:  map 44% reduce 14%
15/07/04 20:15:13 INFO mapreduce.Job:  map 45% reduce 14%
15/07/04 20:19:58 INFO mapreduce.Job:  map 46% reduce 14%
15/07/04 20:24:24 INFO mapreduce.Job:  map 46% reduce 15%
15/07/04 20:25:23 INFO mapreduce.Job:  map 47% reduce 15%
15/07/04 20:29:42 INFO mapreduce.Job:  map 48% reduce 15%
15/07/04 20:35:17 INFO mapreduce.Job:  map 49% reduce 15%
15/07/04 20:39:36 INFO mapreduce.Job:  map 50% reduce 16%
15/07/04 20:45:13 INFO mapreduce.Job:  map 51% reduce 16%
15/07/04 20:49:38 INFO mapreduce.Job:  map 52% reduce 16%
15/07/04 20:53:41 INFO mapreduce.Job:  map 53% reduce 16%
15/07/04 20:54:12 INFO mapreduce.Job:  map 53% reduce 17%
15/07/04 20:55:33 INFO mapreduce.Job:  map 54% reduce 17%
15/07/04 20:56:57 INFO mapreduce.Job:  map 55% reduce 18%
15/07/04 20:58:29 INFO mapreduce.Job:  map 56% reduce 18%
15/07/04 20:59:08 INFO mapreduce.Job:  map 56% reduce 19%
15/07/04 21:00:32 INFO mapreduce.Job:  map 57% reduce 19%
15/07/04 21:03:08 INFO mapreduce.Job:  map 58% reduce 19%
15/07/04 21:05:24 INFO mapreduce.Job:  map 59% reduce 19%
15/07/04 21:05:30 INFO mapreduce.Job:  map 59% reduce 20%
15/07/04 21:08:34 INFO mapreduce.Job:  map 60% reduce 20%
15/07/04 21:14:43 INFO mapreduce.Job:  map 61% reduce 20%
15/07/04 21:19:32 INFO mapreduce.Job:  map 62% reduce 20%
15/07/04 21:19:40 INFO mapreduce.Job:  map 62% reduce 21%
15/07/04 21:25:55 INFO mapreduce.Job:  map 63% reduce 21%
15/07/04 21:30:55 INFO mapreduce.Job:  map 64% reduce 21%
15/07/04 21:37:22 INFO mapreduce.Job:  map 65% reduce 21%
15/07/04 21:37:31 INFO mapreduce.Job:  map 65% reduce 22%
15/07/04 21:39:21 INFO mapreduce.Job:  map 66% reduce 22%
15/07/04 21:40:52 INFO mapreduce.Job:  map 67% reduce 22%
15/07/04 21:42:38 INFO mapreduce.Job:  map 68% reduce 22%
15/07/04 21:42:45 INFO mapreduce.Job:  map 68% reduce 23%
15/07/04 21:44:21 INFO mapreduce.Job:  map 69% reduce 23%
15/07/04 21:46:29 INFO mapreduce.Job:  map 70% reduce 23%
15/07/04 21:48:01 INFO mapreduce.Job:  map 71% reduce 23%
15/07/04 21:48:08 INFO mapreduce.Job:  map 71% reduce 24%
15/07/04 21:49:31 INFO mapreduce.Job:  map 72% reduce 24%
15/07/04 21:51:01 INFO mapreduce.Job:  map 73% reduce 24%
15/07/04 21:52:13 INFO mapreduce.Job:  map 74% reduce 24%
15/07/04 21:52:21 INFO mapreduce.Job:  map 74% reduce 25%
15/07/04 21:53:21 INFO mapreduce.Job:  map 75% reduce 25%
15/07/04 21:54:26 INFO mapreduce.Job:  map 76% reduce 25%
15/07/04 21:55:26 INFO mapreduce.Job:  map 77% reduce 25%
15/07/04 21:55:34 INFO mapreduce.Job:  map 77% reduce 26%
15/07/04 21:56:23 INFO mapreduce.Job:  map 78% reduce 26%
15/07/04 21:57:19 INFO mapreduce.Job:  map 79% reduce 26%
15/07/04 21:58:14 INFO mapreduce.Job:  map 80% reduce 26%
15/07/04 21:58:21 INFO mapreduce.Job:  map 80% reduce 27%
15/07/04 21:59:24 INFO mapreduce.Job:  map 81% reduce 27%
15/07/04 22:01:15 INFO mapreduce.Job:  map 82% reduce 27%
15/07/04 22:02:49 INFO mapreduce.Job:  map 83% reduce 27%
15/07/04 22:02:55 INFO mapreduce.Job:  map 83% reduce 28%
15/07/04 22:05:17 INFO mapreduce.Job:  map 84% reduce 28%
15/07/04 22:09:47 INFO mapreduce.Job:  map 85% reduce 28%
15/07/04 22:15:34 INFO mapreduce.Job:  map 86% reduce 28%
15/07/04 22:15:40 INFO mapreduce.Job:  map 86% reduce 29%
15/07/04 22:19:39 INFO mapreduce.Job:  map 87% reduce 29%
15/07/04 22:21:08 INFO mapreduce.Job:  map 87% reduce 98%
15/07/04 22:21:09 INFO mapreduce.Job:  map 87% reduce 0%
15/07/04 22:21:43 INFO mapreduce.Job:  map 87% reduce 1%
15/07/04 22:22:30 INFO mapreduce.Job:  map 87% reduce 2%
15/07/04 22:22:39 INFO mapreduce.Job:  map 88% reduce 2%
15/07/04 22:23:15 INFO mapreduce.Job:  map 88% reduce 3%
15/07/04 22:23:59 INFO mapreduce.Job:  map 88% reduce 4%
15/07/04 22:24:38 INFO mapreduce.Job:  map 89% reduce 4%
15/07/04 22:24:42 INFO mapreduce.Job:  map 89% reduce 5%
15/07/04 22:25:26 INFO mapreduce.Job:  map 89% reduce 6%
15/07/04 22:26:06 INFO mapreduce.Job:  map 89% reduce 7%
15/07/04 22:26:33 INFO mapreduce.Job:  map 90% reduce 7%
15/07/04 22:26:45 INFO mapreduce.Job:  map 90% reduce 8%
15/07/04 22:27:23 INFO mapreduce.Job:  map 90% reduce 9%
15/07/04 22:27:59 INFO mapreduce.Job:  map 90% reduce 10%
15/07/04 22:28:18 INFO mapreduce.Job:  map 91% reduce 10%
15/07/04 22:28:32 INFO mapreduce.Job:  map 91% reduce 11%
15/07/04 22:29:03 INFO mapreduce.Job:  map 91% reduce 12%
15/07/04 22:29:30 INFO mapreduce.Job:  map 91% reduce 13%
15/07/04 22:30:01 INFO mapreduce.Job:  map 91% reduce 14%
15/07/04 22:30:08 INFO mapreduce.Job:  map 92% reduce 14%
15/07/04 22:30:28 INFO mapreduce.Job:  map 92% reduce 15%
15/07/04 22:30:58 INFO mapreduce.Job:  map 92% reduce 16%
15/07/04 22:31:31 INFO mapreduce.Job:  map 92% reduce 17%
15/07/04 22:32:06 INFO mapreduce.Job:  map 93% reduce 17%
15/07/04 22:32:17 INFO mapreduce.Job:  map 93% reduce 18%
15/07/04 22:33:12 INFO mapreduce.Job:  map 93% reduce 19%
15/07/04 22:33:56 INFO mapreduce.Job:  map 94% reduce 19%
15/07/04 22:35:18 INFO mapreduce.Job:  map 94% reduce 20%
15/07/04 22:35:39 INFO mapreduce.Job:  map 95% reduce 20%
15/07/04 22:37:24 INFO mapreduce.Job:  map 96% reduce 20%
15/07/04 22:38:59 INFO mapreduce.Job:  map 97% reduce 20%
15/07/04 22:40:24 INFO mapreduce.Job:  map 97% reduce 21%
15/07/04 22:40:31 INFO mapreduce.Job:  map 98% reduce 21%
15/07/04 22:42:09 INFO mapreduce.Job:  map 99% reduce 21%
15/07/04 22:43:29 INFO mapreduce.Job:  map 100% reduce 21%
15/07/04 22:43:42 INFO mapreduce.Job:  map 100% reduce 22%
15/07/04 22:44:35 INFO mapreduce.Job:  map 100% reduce 23%
15/07/04 22:45:19 INFO mapreduce.Job:  map 100% reduce 24%
15/07/04 22:46:02 INFO mapreduce.Job:  map 100% reduce 25%
15/07/04 22:46:44 INFO mapreduce.Job:  map 100% reduce 26%
15/07/04 22:47:22 INFO mapreduce.Job:  map 100% reduce 27%
15/07/04 22:47:59 INFO mapreduce.Job:  map 100% reduce 28%
15/07/04 22:48:33 INFO mapreduce.Job:  map 100% reduce 29%
15/07/04 22:49:06 INFO mapreduce.Job:  map 100% reduce 30%
15/07/04 22:49:32 INFO mapreduce.Job:  map 100% reduce 31%
15/07/04 22:49:45 INFO mapreduce.Job:  map 100% reduce 32%
15/07/04 22:49:52 INFO mapreduce.Job:  map 100% reduce 33%
15/07/04 22:50:04 INFO mapreduce.Job:  map 100% reduce 34%
15/07/04 22:50:16 INFO mapreduce.Job:  map 100% reduce 35%
