15/06/26 05:01:38 INFO input.FileInputFormat: Total input paths to process : 47616
15/06/26 05:02:18 INFO mapreduce.JobSubmitter: number of splits:47616
15/06/26 05:02:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_14061
15/06/26 05:02:19 INFO impl.YarnClientImpl: Submitted application application_1434651818028_14061
15/06/26 05:02:19 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_14061/
15/06/26 05:02:19 INFO mapreduce.Job: Running job: job_1434651818028_14061
15/06/26 05:02:28 INFO mapreduce.Job: Job job_1434651818028_14061 running in uber mode : false
15/06/26 05:02:28 INFO mapreduce.Job:  map 0% reduce 0%
15/06/26 05:03:46 INFO mapreduce.Job:  map 1% reduce 0%
15/06/26 05:05:57 INFO mapreduce.Job:  map 2% reduce 0%
15/06/26 05:08:57 INFO mapreduce.Job:  map 3% reduce 0%
15/06/26 05:11:53 INFO mapreduce.Job:  map 4% reduce 0%
15/06/26 05:14:53 INFO mapreduce.Job:  map 5% reduce 0%
15/06/26 05:17:34 INFO mapreduce.Job:  map 6% reduce 0%
15/06/26 05:20:03 INFO mapreduce.Job:  map 7% reduce 0%
15/06/26 05:22:38 INFO mapreduce.Job:  map 8% reduce 0%
15/06/26 05:25:08 INFO mapreduce.Job:  map 9% reduce 0%
15/06/26 05:27:33 INFO mapreduce.Job:  map 10% reduce 0%
15/06/26 05:29:58 INFO mapreduce.Job:  map 11% reduce 0%
15/06/26 05:32:51 INFO mapreduce.Job:  map 12% reduce 0%
15/06/26 05:35:23 INFO mapreduce.Job:  map 13% reduce 0%
15/06/26 05:37:49 INFO mapreduce.Job:  map 14% reduce 0%
15/06/26 05:38:29 INFO mapreduce.Job:  map 14% reduce 1%
15/06/26 05:41:06 INFO mapreduce.Job:  map 15% reduce 1%
15/06/26 05:43:44 INFO mapreduce.Job:  map 16% reduce 1%
15/06/26 05:45:48 INFO mapreduce.Job:  map 17% reduce 1%
15/06/26 05:47:06 INFO mapreduce.Job:  map 17% reduce 2%
15/06/26 05:47:49 INFO mapreduce.Job:  map 18% reduce 2%
15/06/26 05:50:14 INFO mapreduce.Job:  map 19% reduce 2%
15/06/26 05:55:48 INFO mapreduce.Job:  map 20% reduce 2%
15/06/26 05:59:11 INFO mapreduce.Job:  map 21% reduce 2%
15/06/26 06:01:04 INFO mapreduce.Job:  map 22% reduce 2%
15/06/26 06:01:40 INFO mapreduce.Job:  map 22% reduce 3%
15/06/26 06:03:09 INFO mapreduce.Job:  map 23% reduce 3%
15/06/26 06:06:04 INFO mapreduce.Job:  map 24% reduce 3%
15/06/26 06:10:36 INFO mapreduce.Job:  map 25% reduce 3%
15/06/26 06:16:43 INFO mapreduce.Job:  map 26% reduce 3%
15/06/26 06:21:03 INFO mapreduce.Job:  map 27% reduce 3%
15/06/26 06:25:39 INFO mapreduce.Job:  map 28% reduce 3%
15/06/26 06:29:38 INFO mapreduce.Job:  map 29% reduce 3%
15/06/26 06:34:13 INFO mapreduce.Job:  map 30% reduce 3%
15/06/26 06:35:55 INFO mapreduce.Job:  map 30% reduce 4%
15/06/26 06:37:06 INFO mapreduce.Job:  map 31% reduce 4%
15/06/26 06:39:35 INFO mapreduce.Job:  map 32% reduce 4%
15/06/26 06:41:01 INFO mapreduce.Job:  map 32% reduce 5%
15/06/26 06:41:48 INFO mapreduce.Job:  map 33% reduce 5%
15/06/26 06:43:10 INFO mapreduce.Job:  map 33% reduce 6%
15/06/26 06:44:10 INFO mapreduce.Job:  map 34% reduce 6%
15/06/26 06:48:57 INFO mapreduce.Job:  map 35% reduce 6%
15/06/26 06:57:36 INFO mapreduce.Job:  map 36% reduce 6%
15/06/26 07:00:56 INFO mapreduce.Job:  map 36% reduce 7%
15/06/26 07:01:13 INFO mapreduce.Job:  map 37% reduce 7%
15/06/26 07:03:24 INFO mapreduce.Job:  map 38% reduce 7%
15/06/26 07:03:44 INFO mapreduce.Job:  map 38% reduce 8%
15/06/26 07:08:38 INFO mapreduce.Job:  map 39% reduce 8%
15/06/26 07:11:10 INFO mapreduce.Job:  map 39% reduce 0%
15/06/26 07:11:49 INFO mapreduce.Job:  map 39% reduce 1%
15/06/26 07:12:48 INFO mapreduce.Job:  map 39% reduce 2%
15/06/26 07:13:40 INFO mapreduce.Job:  map 39% reduce 3%
15/06/26 07:14:16 INFO mapreduce.Job:  map 40% reduce 3%
15/06/26 07:15:13 INFO mapreduce.Job:  map 40% reduce 4%
15/06/26 07:17:35 INFO mapreduce.Job:  map 41% reduce 4%
15/06/26 07:18:42 INFO mapreduce.Job:  map 41% reduce 5%
15/06/26 07:21:11 INFO mapreduce.Job:  map 42% reduce 5%
15/06/26 07:25:52 INFO mapreduce.Job:  map 43% reduce 5%
15/06/26 07:29:13 INFO mapreduce.Job:  map 43% reduce 6%
15/06/26 07:29:30 INFO mapreduce.Job:  map 44% reduce 6%
15/06/26 07:30:29 INFO mapreduce.Job:  map 44% reduce 7%
15/06/26 07:32:12 INFO mapreduce.Job:  map 44% reduce 8%
15/06/26 07:34:47 INFO mapreduce.Job:  map 45% reduce 8%
15/06/26 07:39:20 INFO mapreduce.Job:  map 46% reduce 8%
15/06/26 07:42:12 INFO mapreduce.Job:  map 47% reduce 8%
15/06/26 07:44:33 INFO mapreduce.Job:  map 47% reduce 9%
15/06/26 07:45:08 INFO mapreduce.Job:  map 48% reduce 9%
15/06/26 07:47:42 INFO mapreduce.Job:  map 49% reduce 9%
15/06/26 07:49:13 INFO mapreduce.Job:  map 49% reduce 10%
15/06/26 07:50:23 INFO mapreduce.Job:  map 50% reduce 10%
15/06/26 07:53:20 INFO mapreduce.Job:  map 51% reduce 10%
15/06/26 07:53:23 INFO mapreduce.Job:  map 51% reduce 11%
15/06/26 07:54:49 INFO mapreduce.Job:  map 51% reduce 12%
15/06/26 07:55:32 INFO mapreduce.Job:  map 52% reduce 12%
15/06/26 07:55:56 INFO mapreduce.Job:  map 52% reduce 13%
15/06/26 07:56:50 INFO mapreduce.Job:  map 52% reduce 14%
15/06/26 07:57:32 INFO mapreduce.Job:  map 53% reduce 14%
15/06/26 07:57:56 INFO mapreduce.Job:  map 53% reduce 15%
15/06/26 07:58:26 INFO mapreduce.Job:  map 53% reduce 3%
15/06/26 07:58:27 INFO mapreduce.Job:  map 53% reduce 0%
15/06/26 07:58:57 INFO mapreduce.Job:  map 53% reduce 1%
15/06/26 07:59:44 INFO mapreduce.Job:  map 53% reduce 2%
15/06/26 08:00:31 INFO mapreduce.Job:  map 53% reduce 3%
