ab	\u0426\u0430\u0441\u0442\u04d9\u0438
ace	Kusuih
af	Spesiaal
ak	Soronko
als	Spezial
am	\u120d\u12e9
an	Especial
ang	Syndrig
ar	\u062e\u0627\u0635
arc	\u0715\u071d\u0720\u0722\u071d\u0710
arz	\u062e\u0627\u0635
as	\u09ac\u09bf\u09b6\u09c7\u09b7
ast	Especial
av	\u0421\u043b\u0443\u0436\u0435\u0431\u043d\u0430\u044f
ay	Especial
az	X\u00fcsusi
ba	\u041c\u0430\u0445\u0441\u0443\u0441
bar	Spezial
bat-smg	Spec\u0113los
bcl	Espesyal
be	\u0410\u0434\u043c\u044b\u0441\u043b\u043e\u0432\u0430\u0435
be-x-old	\u0421\u043f\u044d\u0446\u044b\u044f\u043b\u044c\u043d\u044b\u044f
bg	\u0421\u043f\u0435\u0446\u0438\u0430\u043b\u043d\u0438
bh	\u0935\u093f\u0936\u0947\u0937
bi	Special
bjn	Istimiwa
bm	Sp\u00e9cial
bn	\u09ac\u09bf\u09b6\u09c7\u09b7
bo	Special
bpy	\u09ac\u09bf\u09b6\u09c7\u09b7
br	Dibar
bs	Posebno
bug	Istimewa
bxr	\u0422\u0443\u0441\u0445\u0430\u0439
ca	Especial
cbk-zam	Especial
cdo	\u7279\u6b8a
ce	\u0411\u0435\u043b\u0445\u0430\u043d
ceb	Espesyal
ch	Espesiat
chr	Special
chy	Special
ckb	\u062a\u0627\u06cc\u0628\u06d5\u062a
co	Speciale
cr	Special
crh	Mahsus
cs	Speci\u00e1ln\u00ed
csb	Specjaln\u00f4
cu	\u041d\u0430\u0440\u043e\u0447\u044c\u043d\u0430
cv	\u042f\u0442\u0430\u0440\u043b\u0103
cy	Arbennig
da	Speciel
de	Spezial
diq	Ba\u011fse
dsb	Specialne
dv	\u079a\u07a7\u0787\u07b0\u0790\u07a6
dz	Special
ee	Special
el	\u0395\u03b9\u03b4\u03b9\u03ba\u03cc
eml	Speciale
en	Special
eo	Speciala\u0135o
es	Especial
et	Eri
eu	Berezi
ext	Special
fa	\u0648\u06cc\u0698\u0647
ff	Sp\u00e9cial
fi	Toiminnot
fiu-vro	Tallituslehek\u00fclg
fj	Special
fo	Serstakt
fr	Sp\u00e9cial
frp	Sp\u00e8ci\u00e2l
frr	Spezial
fur	Speci\u00e2l
fy	Wiki
ga	Speisialta
gag	Maasus
gan	\u7279\u5225
gd	S\u00f2nraichte
gl	Especial
glk	\u0648\u06cc\u0698\u0647
gn	Mba'ech\u0129ch\u0129
got	Special
gu	\u0ab5\u0abf\u0ab6\u0ac7\u0ab7
gv	Er lheh
ha	Special
hak	\u7279\u6b8a
haw	Papa nui
he	\u05de\u05d9\u05d5\u05d7\u05d3
hi	\u0935\u093f\u0936\u0947\u0937
hif	khaas
hr	Posebno
hsb	Specialnje
ht	Espesyal
hu	Speci\u00e1lis
hy	\u054d\u057a\u0561\u057d\u0561\u0580\u056f\u0578\u0572
ia	Special
id	Istimewa
ie	Special
ig	Ih\u00fc k\u00e1r\u00edr\u00ed
ik	Special
ilo	Espesial
io	Specala
is	Kerfiss\u00ed\u00f0a
it	Speciale
iu	Special
ja	\u7279\u5225
jbo	Special
jv	Astamiwa
ka	\u10e1\u10de\u10d4\u10ea\u10d8\u10d0\u10da\u10e3\u10e0\u10d8
kaa	Arnawl\u0131
kab	Uslig
kbd	\u0421\u043b\u0443\u0436\u0435\u0431\u043d\u0430\u044f
kg	Special
ki	Special
kk	\u0410\u0440\u043d\u0430\u0439\u044b
kl	Immikkut
km	\u1796\u17b7\u179f\u17c1\u179f
kn	\u0cb5\u0cbf\u0cb6\u0cc7\u0cb7
ko	\ud2b9\uc218
koi	\u0421\u043b\u0443\u0436\u0435\u0431\u043d\u0430\u044f
krc	\u041a\u044a\u0443\u043b\u043b\u0443\u043a\u044a
ks	\u062e\u0627\u0635
ksh	Extra
ku	Taybet
kv	\u041e\u0442\u0441\u0430\u0441\u044f\u043d
kw	Arbennek
ky	\u0410\u0442\u0430\u0439\u044b\u043d
la	Specialis
lad	Especial
lb	Spezial
lbe	\u041a\u044a\u0443\u043b\u043b\u0443\u0433\u044a\u0438\u0440\u0430\u043b \u043b\u0430\u0436\u0438\u043d
lez	\u0421\u043b\u0443\u0436\u0435\u0431\u043d\u0430\u044f
lg	Special
li	Speciaal
lij	Spe\u00e7iale
lmo	Special
ln	Sp\u00e9cial
lo	\u0e9e\u0eb4\u0ec0\u0eaa\u0e94
lt	Specialus
ltg	Sevi\u0161kuo
lv	Special
mai	\u0935\u093f\u0936\u0947\u0937
map-bms	Astamiwa
mdf	\u0411\u0430\u0448\u043a\u0430
mg	Manokana
mhr	\u041b\u04f1\u043c\u044b\u043d \u044b\u0448\u0442\u044b\u043c\u0435
mi	Special
min	Istimewa
mk	\u0421\u043f\u0435\u0446\u0438\u0458\u0430\u043b\u043d\u0430
ml	\u0d2a\u0d4d\u0d30\u0d24\u0d4d\u0d2f\u0d47\u0d15\u0d02
mn	\u0422\u0443\u0441\u0433\u0430\u0439
mr	\u0935\u093f\u0936\u0947\u0937
mrj	\u0421\u043f\u0435\u0446\u04f9\u043b\u04f9\u0448\u0442\u04d3\u0448
ms	Khas
mt	Spe\u010bjali
mwl	Special
my	Special
myv	\u0411\u0430\u0448\u043a\u0430 \u0442\u0435\u0432\u0435\u043d\u044c
mzn	\u0634\u0627
na	Special
nah	N\u014dncuahqu\u012bzqui
nap	Speci\u00e0le
nds	Spezial
nds-nl	Spesiaal
ne	\u0935\u093f\u0936\u0947\u0937
new	\u0935\u093f\u0936\u0947\u0937
nl	Speciaal
nn	Spesial
no	Spesial
nov	Special
nrm	Special
nso	Special
nv	Special
ny	Special
oc	Especial
om	Special
or	\u0b2c\u0b3f\u0b36\u0b47\u0b37
os	\u0421\u00e6\u0440\u043c\u0430\u0433\u043e\u043d\u0434
pa	\u0a16\u0a3c\u0a3e\u0a38
pag	Special
pam	Special
pap	Special
pcd	Sp\u00e9cial
pdc	Spezial
pfl	Schbezial
pi	\u0935\u093f\u0938\u0947\u0938
pih	Special
pl	Specjalna
pms	Special
pnb	Special
pnt	\u0395\u03b9\u03b4\u03b9\u03ba\u03cc\u03bd
ps	\u0681\u0627\u0646\u06ab\u0693\u06cc
pt	Especial
qu	Sapaq
rm	Spezial
rmy	Uzalutno
rn	Special
ro	Special
roa-rup	Special
roa-tara	Special
ru	\u0421\u043b\u0443\u0436\u0435\u0431\u043d\u0430\u044f
rue	\u0428\u043f\u0435\u0446\u0456\u0430\u043b\u043d\u0430
rw	Special
sa	\u0935\u093f\u0936\u0947\u0937\u092e\u094d
