IMPORTANCE	WIKIDATA_ID	CATEGORY	DESCRIPTION
0	Q104340	People/Entertainers/Actors_and_Actresses/Silent_movies	Harold Lloyd
0	Q104183	People/Entertainers/Actors_and_Actresses/Silent_movies	Lillian Gish
0	Q103949	People/Entertainers/Actors_and_Actresses/Silent_movies	Buster Keaton
0	Q104109	People/Entertainers/Actors_and_Actresses/Silent_movies	Mary Pickford
0	Q229232	People/Entertainers/Actors_and_Actresses/Silent_movies	Gloria Swanson
0	Q232404	People/Entertainers/Actors_and_Actresses/Silent_movies	Asta Nielsen
0	Q100937	People/Entertainers/Actors_and_Actresses/Modern_era	Fred Astaire
1	Q4605	People/Entertainers/Actors_and_Actresses/Modern_era	Sarah Bernhardt
0	Q16390	People/Entertainers/Actors_and_Actresses/Modern_era	Humphrey Bogart
0	Q34012	People/Entertainers/Actors_and_Actresses/Modern_era	Marlon Brando
0	Q64450	People/Entertainers/Actors_and_Actresses/Modern_era	Marx Brothers
0	Q94041	People/Entertainers/Actors_and_Actresses/Modern_era	James Cagney
1	Q882	People/Entertainers/Actors_and_Actresses/Modern_era	Charlie Chaplin
0	Q203819	People/Entertainers/Actors_and_Actresses/Modern_era	Claudette Colbert
0	Q93957	People/Entertainers/Actors_and_Actresses/Modern_era	Gary Cooper
0	Q40475	People/Entertainers/Actors_and_Actresses/Modern_era	Joan Crawford
0	Q71206	People/Entertainers/Actors_and_Actresses/Modern_era	Bette Davis
0	Q36949	People/Entertainers/Actors_and_Actresses/Modern_era	Robert De Niro
0	Q83359	People/Entertainers/Actors_and_Actresses/Modern_era	James Dean
0	Q19155	People/Entertainers/Actors_and_Actresses/Modern_era	Henry Fonda
0	Q41142	People/Entertainers/Actors_and_Actresses/Modern_era	Jane Fonda
0	Q71243	People/Entertainers/Actors_and_Actresses/Modern_era	Clark Gable
0	Q11637	People/Entertainers/Actors_and_Actresses/Modern_era	Judy Garland
0	Q49001	People/Entertainers/Actors_and_Actresses/Modern_era	Whoopi Goldberg
0	Q83410	People/Entertainers/Actors_and_Actresses/Modern_era	Cary Grant
0	Q2263	People/Entertainers/Actors_and_Actresses/Modern_era	Tom Hanks
0	Q56016	People/Entertainers/Actors_and_Actresses/Modern_era	Katharine Hepburn
0	Q3925	People/Entertainers/Actors_and_Actresses/Modern_era	Grace Kelly
0	Q73089	People/Entertainers/Actors_and_Actresses/Modern_era	Gene Kelly
1	Q4616	People/Entertainers/Actors_and_Actresses/Modern_era	Marilyn Monroe
0	Q43874	People/Entertainers/Actors_and_Actresses/Modern_era	Eddie Murphy
0	Q39792	People/Entertainers/Actors_and_Actresses/Modern_era	Jack Nicholson
0	Q108366	People/Entertainers/Actors_and_Actresses/Modern_era	Gregory Peck
0	Q94002	People/Entertainers/Actors_and_Actresses/Modern_era	Barbara Stanwyck
0	Q102462	People/Entertainers/Actors_and_Actresses/Modern_era	James Stewart
0	Q873	People/Entertainers/Actors_and_Actresses/Modern_era	Meryl Streep
0	Q34851	People/Entertainers/Actors_and_Actresses/Modern_era	Elizabeth Taylor
0	Q182580	People/Entertainers/Actors_and_Actresses/Modern_era	Shirley Temple
0	Q71275	People/Entertainers/Actors_and_Actresses/Modern_era	Spencer Tracy
0	Q40531	People/Entertainers/Actors_and_Actresses/Modern_era	John Wayne
0	Q202878	People/Entertainers/Actors_and_Actresses/Modern_era	Mae West
0	Q83338	People/Entertainers/Actors_and_Actresses/Modern_era	Robin Williams
0	Q16397	People/Entertainers/Actors_and_Actresses/Modern_era	Bruce Lee
0	Q9570	People/Entertainers/Actors_and_Actresses/Modern_era	Amitabh Bachchan
0	Q3111264	People/Entertainers/Actors_and_Actresses/Modern_era	Pran
0	Q37001	People/Entertainers/Actors_and_Actresses/Modern_era	Toshiro Mifune
0	Q36268	People/Entertainers/Actors_and_Actresses/Modern_era	Brigitte Bardot
0	Q106255	People/Entertainers/Actors_and_Actresses/Modern_era	Jean-Paul Belmondo
0	Q2737	People/Entertainers/Actors_and_Actresses/Modern_era	Louis de Funès
0	Q106529	People/Entertainers/Actors_and_Actresses/Modern_era	Alain Delon
0	Q129092	People/Entertainers/Actors_and_Actresses/Modern_era	Fernandel
0	Q23842	People/Entertainers/Actors_and_Actresses/Modern_era	Jean Gabin
0	Q168359	People/Entertainers/Actors_and_Actresses/Modern_era	Jean Marais
0	Q150662	People/Entertainers/Actors_and_Actresses/Modern_era	Gérard Philipe
0	Q151973	People/Entertainers/Actors_and_Actresses/Modern_era	Richard Burton
0	Q123351	People/Entertainers/Actors_and_Actresses/Modern_era	Michael Caine
0	Q4573	People/Entertainers/Actors_and_Actresses/Modern_era	Sean Connery
0	Q166389	People/Entertainers/Actors_and_Actresses/Modern_era	Daniel Day-Lewis
0	Q42786	People/Entertainers/Actors_and_Actresses/Modern_era	Audrey Hepburn
0	Q65932	People/Entertainers/Actors_and_Actresses/Modern_era	Anthony Hopkins
0	Q704385	People/Entertainers/Actors_and_Actresses/Modern_era	Edmund Kean
0	Q129429	People/Entertainers/Actors_and_Actresses/Modern_era	Vivien Leigh
0	Q55245	People/Entertainers/Actors_and_Actresses/Modern_era	Laurence Olivier
0	Q103876	People/Entertainers/Actors_and_Actresses/Modern_era	Peter O'Toole
0	Q177984	People/Entertainers/Actors_and_Actresses/Modern_era	Peter Sellers
0	Q199943	People/Entertainers/Actors_and_Actresses/Modern_era	Adriano Celentano
0	Q56009	People/Entertainers/Actors_and_Actresses/Modern_era	Gina Lollobrigida
0	Q43252	People/Entertainers/Actors_and_Actresses/Modern_era	Sophia Loren
0	Q55469	People/Entertainers/Actors_and_Actresses/Modern_era	Marcello Mastroianni
0	Q43247	People/Entertainers/Actors_and_Actresses/Modern_era	Ingrid Bergman
0	Q5443	People/Entertainers/Actors_and_Actresses/Modern_era	Greta Garbo
0	Q376335	People/Entertainers/Actors_and_Actresses/Modern_era	Mikhail Ulyanov
0	Q717810	People/Entertainers/Actors_and_Actresses/Modern_era	Yevgeny Leonov
0	Q380250	People/Entertainers/Actors_and_Actresses/Modern_era	Innokenty Smoktunovsky
0	Q471740	People/Entertainers/Actors_and_Actresses/Modern_era	Armen Dzhigarkhanyan
1	Q4612	People/Entertainers/Actors_and_Actresses/Modern_era	Marlene Dietrich
0	Q153018	People/Entertainers/Actors_and_Actresses/Modern_era	Maximilian Schell
0	Q449037	People/Entertainers/Performing_artists	Alvin Ailey
